month,date,oil_production,gas_production,boe_production,oil_revenue,gas_revenue,total_revenue,operating_costs,net_cash_flow,cumulative_cash_flow
1,2025-09,361568.9,1129903.1,549886.1,16270600.5,2372796.51,18643397.01,4674031.71,13969365.3,13969365.3
2,2025-10,333385.1,1041828.3,507023.2,15002329.5,2187839.43,17190168.93,4309696.78,12880472.15,26849837.45
3,2025-11,308650.9,964533.9,469406.6,13889290.5,2025521.19,15914811.69,3989955.68,11924856.01,38774693.46
4,2025-12,286804.9,896265.5,436182.5,12906220.5,1882157.55,14788378.05,3707551.11,11080826.94,49855520.4
5,2026-01,267397.8,835618.3,406667.5,12032901.0,1754798.43,13787699.43,3456673.89,10331025.54,60186545.94
6,2026-02,250066.3,781456.9,380309.1,11252983.5,1641059.49,12894042.99,3232627.49,9661415.5,69847961.44
7,2026-03,234512.9,732852.9,356655.0,10553080.5,1538991.09,12092071.59,3031567.92,9060503.66,78908465.1
8,2026-04,220493.8,689042.9,335334.3,9922221.0,1446990.09,11369211.09,2850341.41,8518869.68,87427334.78
9,2026-05,207805.6,649392.3,316037.7,9351252.0,1363723.83,10714975.83,2686320.03,8028655.8,95455990.58
10,2026-06,196278.6,613370.4,298507.0,8832537.0,1288077.84,10120614.84,2537309.5,7583305.34,103039295.92
11,2026-07,185769.9,580530.6,282525.0,8359645.5,1219114.26,9578759.76,2401462.5,7177297.26,110216593.18
12,2026-08,176158.2,550494.2,267907.2,7927119.0,1156037.82,9083156.82,2277211.48,6805945.34,117022538.52
13,2026-09,167340.1,522938.3,254496.5,7530304.5,1098170.43,8628474.93,2163220.11,6465254.82,123487793.34
14,2026-10,159227.7,497586.9,242158.9,7165246.5,1044932.49,8210178.99,2058350.23,6151828.77,129639622.11
15,2026-11,151744.3,474201.0,230777.8,6828493.5,995822.1,7824315.6,1961611.3,5862704.3,135502326.41
16,2026-12,144824.0,452574.8,220253.1,6517080.0,950407.08,7467487.08,1872151.63,5595335.45,141097661.86
17,2027-01,138409.3,432529.2,210497.5,6228418.5,908311.32,7136729.82,1789228.75,5347501.07,146445162.93
18,2027-02,132450.4,413907.4,201435.0,5960268.0,869205.54,6829473.54,1712197.22,5117276.32,151562439.25
19,2027-03,126903.1,396572.7,192998.5,5710639.5,832802.67,6543442.17,1640487.67,4902954.5,156465393.75
20,2027-04,121729.1,380403.7,185129.7,5477809.5,798847.77,6276657.27,1573602.59,4703054.68,161168448.43
21,2027-05,116894.3,365294.6,177776.7,5260243.5,767118.66,6027362.16,1511102.23,4516259.93,165684708.36
